theory,category,weight,created_at,updated_at,is_reverse_scored,question_id,is_deleted
16PF,Warmth,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,1,0
16PF,Rule-Consciousness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,2,0
16PF,Dominance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,3,0
16PF,Social Boldness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,4,0
16PF,Social Boldness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,5,0
16PF,Openness to Change,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,6,0
16PF,Vigilance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,7,0
16PF,Warmth,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,8,0
16PF,Sensitivity,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,9,0
16PF,Perfectionism,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,10,0
16PF,Rule-Consciousness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,11,0
16PF,Privateness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,12,0
16PF,Sensitivity,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,13,0
16PF,Emotional Stability,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,14,0
16PF,Abstractedness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,15,0
16PF,Reasoning,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,16,0
16PF,Sensitivity,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,17,0
16PF,Privateness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,18,0
16PF,Perfectionism,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,19,0
16PF,Perfectionism,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,20,0
16PF,Liveliness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,21,0
16PF,Vigilance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,22,0
16PF,Social Boldness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,23,0
16PF,Self-Reliance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,24,0
16PF,Liveliness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,25,0
16PF,Rule-Consciousness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,26,0
16PF,Tension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,27,0
16PF,Dominance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,28,0
16PF,Social Boldness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,29,0
16PF,Sensitivity,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,30,0
16PF,Privateness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,31,0
16PF,Self-Reliance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,32,0
16PF,Liveliness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,33,0
16PF,Apprehension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,34,0
16PF,Dominance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,35,0
16PF,Privateness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,36,0
16PF,Apprehension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,37,0
16PF,Rule-Consciousness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,38,0
16PF,Abstractedness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,39,0
16PF,Emotional Stability,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,40,0
16PF,Abstractedness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,41,0
16PF,Vigilance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,42,0
16PF,Openness to Change,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,43,0
16PF,Dominance,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,44,0
16PF,Tension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,45,0
16PF,Emotional Stability,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,46,0
16PF,Tension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,47,0
16PF,Liveliness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,48,0
16PF,Apprehension,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,49,0
16PF,Openness to Change,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,50,0
16PF,Perfectionism,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,51,0
16PF,Abstractedness,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,false,52,0
16PF,Sensitivity,1,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,true,53,0
