question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I feel uncomfortable being around others,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,1,0,他人と一緒にいると居心地が悪く感じる,다른 사람들과 함께 있는 것이 불편하게 느껴진다,我觉得和别人待在一起不舒服,我覺得和別人待在一起不舒服,Me siento incómodo al estar rodeado de otras personas,Je me sens mal à l'aise en présence d'autres personnes,Sinto-me desconfortável ao estar perto de outras pessoas,أشعر بعدم الارتياح عند التواجد مع الآخرين,मुझे दूसरों के साथ होने में असहजता महसूस होती है,Ich fühle mich unwohl in der Nähe anderer,Mi sento a disagio in presenza di altre persone,Saya merasa tidak nyaman berada di sekitar orang lain
I prefer to follow established rules,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2,0,定められたルールに従うことを好む,정해진 규칙을 따르는 것을 선호한다,我更喜欢遵循既定的规则,我更喜歡遵循既定的規則,Prefiero seguir las reglas establecidas,Je préfère suivre les règles établies,Prefiro seguir as regras estabelecidas,أفضل اتباع القواعد المعمول بها,मैं स्थापित नियमों का पालन करना पसंद करता हूँ,"Ich bevorzuge es, etablierte Regeln zu befolgen",Preferisco seguire regole stabilite,Saya lebih suka mengikuti aturan yang telah ditetapkan
I am quick to assert my opinions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,3,0,自分の意見をはっきりと伝えることが多い,나는 내 의견을 분명하게 표현하는 편이다,我倾向于清晰地表达自己的观点,我傾向於清晰地表達自己的觀點,Suelo expresar mis opiniones con claridad,J’ai tendance à exprimer clairement mes opinions,Costumo expressar minhas opiniões com clareza,أميل إلى التعبير عن آرائي بوضوح,मैं आमतौर पर अपने विचार स्पष्ट रूप से व्यक्त करता हूँ,Ich bringe meine Meinung schnell zum Ausdruck,Sono rapido ad affermare le mie opinioni,Saya cepat menyuarakan pendapat saya
I find it easy to approach new people,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,4,0,新しい人に話しかけるのは簡単だと感じる,새로운 사람에게 다가가는 것이 쉽다,我觉得接近新的人很容易,我覺得接近新的人很容易,Encuentro fácil acercarme a personas nuevas,Je trouve facile d’aborder de nouvelles personnes,Acho fácil me aproximar de novas pessoas,أجد أنه من السهل الاقتراب من أشخاص جدد,मैं नए लोगों से बात करना आसान समझता हूँ,"Es fällt mir leicht, auf neue Menschen zuzugehen",Trovo facile avvicinarmi a nuove persone,Saya merasa mudah mendekati orang baru
I feel confident speaking in front of groups,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,5,0,集団の前で話すことに自信がある,여러 사람 앞에서 말할 때 자신감이 있다,我在众人面前讲话时感到自信,我在眾人面前講話時感到自信,Me siento seguro hablando frente a grupos,Je me sens confiant en parlant devant un groupe,Sinto-me confiante ao falar em público,أشعر بالثقة عند التحدث أمام مجموعة,मुझे समूहों के सामने बोलने में आत्मविश्वास होता है,"Ich fühle mich sicher, vor Gruppen zu sprechen",Mi sento sicuro a parlare davanti a un gruppo,Saya merasa percaya diri berbicara di depan kelompok
I feel excited by changes in my routine,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,6,0,日常の変化にワクワクする,일상에 변화가 생기면 설렌다,我对日常生活的变化感到兴奋,我對日常生活的變化感到興奮,Me emocionan los cambios en mi rutina,Je suis excité par les changements dans ma routine,Eu fico animado com mudanças na minha rotina,أشعر بالحماس عند حدوث تغييرات في روتيني,मेरी दिनचर्या में बदलाव से मुझे उत्साह होता है,Veränderungen in meinem Alltag begeistern mich,Mi entusiasmano i cambiamenti nella mia routine,Saya merasa bersemangat dengan perubahan dalam rutinitas saya
I am cautious about others' intentions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,7,0,他人の意図には慎重である,나는 다른 사람의 의도를 조심스럽게 생각한다,我对别人的意图很谨慎,我對別人的意圖很謹慎,Soy cauteloso con las intenciones de los demás,Je suis prudent quant aux intentions des autres,Eu sou cauteloso quanto às intenções dos outros,أنا حذر بشأن نوايا الآخرين,मैं दूसरों की मंशा को लेकर सतर्क रहता हूँ,Ich bin vorsichtig gegenüber den Absichten anderer,Sono cauto riguardo alle intenzioni degli altri,Saya berhati-hati terhadap niat orang lain
I find it easy to empathize with others' emotions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,8,0,他人の感情に共感しやすい,나는 다른 사람의 감정에 쉽게 공감한다,我很容易对他人的情绪产生共鸣,我很容易對他人的情緒產生共鳴,Me resulta fácil empatizar con las emociones de los demás,Je trouve facile d'empathiser avec les émotions des autres,Eu acho fácil empatizar com as emoções dos outros,أجد أنه من السهل التعاطف مع مشاعر الآخرين,मैं दूसरों की भावनाओं के साथ सहानुभूति रखना आसान समझता हूँ,"Es fällt mir leicht, mit den Gefühlen anderer mitzufühlen",Trovo facile empatizzare con le emozioni altrui,Saya merasa mudah berempati dengan emosi orang lain
I am sensitive to the needs of others,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,9,0,他人のニーズに敏感だ,나는 다른 사람의 요구에 민감하다,我对他人的需求很敏感,我對他人的需求很敏感,Soy sensible a las necesidades de los demás,Je suis sensible aux besoins des autres,Eu sou sensível às necessidades dos outros,أنا حساس لاحتياجات الآخرين,मैं दूसरों की आवश्यकताओं के प्रति संवेदनशील हूँ,Ich bin sensibel für die Bedürfnisse anderer,Sono sensibile ai bisogni degli altri,Saya peka terhadap kebutuhan orang lain
I am often critical of my own work,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,10,0,自分の仕事に対してよく批判的になる,나는 내 작업에 대해 자주 비판적이다,我经常对自己的工作持批评态度,我經常對自己的工作持批評態度,A menudo soy crítico con mi propio trabajo,Je suis souvent critique envers mon propre travail,Frequentemente sou crítico do meu próprio trabalho,غالبًا ما أكون ناقدًا لعملي الخاص,मैं अक्सर अपने काम की आलोचना करता हूँ,Ich bin oft kritisch gegenüber meiner eigenen Arbeit,Sono spesso critico verso il mio lavoro,Saya sering mengkritik pekerjaan saya sendiri
I feel uneasy when I break established rules,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,11,0,定められたルールを破ると落ち着かない,정해진 규칙을 어기면 불안해진다,当我违反既定规则时会感到不安,當我違反既定規則時會感到不安,Me siento incómodo cuando rompo reglas establecidas,Je me sens mal à l'aise lorsque j'enfreins des règles établies,Sinto-me desconfortável quando quebro regras estabelecidas,أشعر بعدم الارتياح عندما أكسر القواعد المعمول بها,जब मैं स्थापित नियमों को तोड़ता हूँ तो मुझे बेचैनी होती है,"Es macht mich unruhig, etablierte Regeln zu brechen",Mi sento a disagio quando infrango regole stabilite,Saya merasa tidak tenang ketika melanggar aturan yang ada
I keep my personal matters private,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,12,0,個人的なことは秘密にしておく,나는 개인적인 문제를 비밀로 한다,我将个人事务保密,我將個人事務保密,Mantengo mis asuntos personales en privado,Je garde mes affaires personnelles privées,Mantenho meus assuntos pessoais em privado,أحتفظ بأموري الشخصية بشكل خاص,मैं अपने व्यक्तिगत मामलों को निजी रखता हूँ,Ich halte persönliche Angelegenheiten privat,Tengo le mie questioni personali private,Saya menjaga urusan pribadi saya tetap pribadi
I find it easy to express empathy,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,13,0,共感を表現するのが得意だ,나는 공감을 표현하는 것이 쉽다,我很容易表达同情之情,我很容易表達同情之情,Me resulta fácil expresar empatía,Je trouve facile d’exprimer de l’empathie,Eu acho fácil expressar empatia,أجد أنه من السهل التعبير عن التعاطف,मुझे सहानुभूति व्यक्त करना आसान लगता है,"Es fällt mir leicht, Empathie zu zeigen",Trovo facile esprimere empatia,Saya merasa mudah menunjukkan empati
I find it easy to stay positive during difficulties,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,14,0,困難なときでも前向きでいられる,나는 어려움 속에서도 긍정적으로 있을 수 있다,在困难时保持积极态度对我来说很容易,在困難時保持積極態度對我來說很容易,Encuentro fácil mantenerme positivo durante las dificultades,Je trouve facile de rester positif pendant les difficultés,Acho fácil permanecer positivo durante as dificuldades,أجد أنه من السهل البقاء إيجابيًا أثناء الصعوبات,मुश्किलों के समय भी सकारात्मक बने रहना मेरे लिए आसान होता है,Ich bleibe auch in schwierigen Zeiten positiv,Trovo facile rimanere positivo durante le difficoltà,Saya merasa mudah tetap positif dalam kesulitan
I enjoy thinking about abstract ideas,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,15,0,抽象的なアイデアを考えるのが好きだ,나는 추상적인 아이디어를 생각하는 것을 좋아한다,我喜欢思考抽象的概念,我喜歡思考抽象的概念,Disfruto pensando en ideas abstractas,J'aime réfléchir à des idées abstraites,Gosto de pensar em ideias abstratas,أستمتع بالتفكير في الأفكار المجردة,मुझे अमूर्त विचारों के बारे में सोचना पसंद है,Ich denke gerne über abstrakte Ideen nach,Mi piace riflettere su idee astratte,Saya senang memikirkan ide-ide abstrak
I approach problems with logical analysis,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,16,0,論理的に問題を分析する傾向がある,나는 문제를 논리적으로 분석한다,我倾向于用逻辑分析问题,我傾向於用邏輯分析問題,Abordo los problemas con análisis lógico,J'aborde les problèmes avec une analyse logique,Abordo os problemas com análise lógica,أتعامل مع المشاكل بتحليل منطقي,मैं समस्याओं को तार्किक विश्लेषण से सुलझाता हूँ,Ich löse Probleme mit logischer Analyse,Affronto i problemi con analisi logica,Saya mendekati masalah dengan analisis logis
I often notice small changes in others' emotions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,17,0,他人の感情の小さな変化によく気づく,나는 다른 사람의 감정의 작은 변화를 자주 알아챈다,我经常注意到他人情绪的细微变化,我經常注意到他人情緒的細微變化,A menudo noto pequeños cambios en las emociones de los demás,Je remarque souvent de petits changements dans les émotions des autres,Frequentemente noto pequenas mudanças nas emoções dos outros,غالبًا ما ألاحظ تغييرات طفيفة في مشاعر الآخرين,मैं अक्सर दूसरों की भावनाओं में छोटे बदलाव देखता हूँ,Ich bemerke oft kleine Veränderungen in den Emotionen anderer,Spesso noto piccoli cambiamenti nelle emozioni altrui,Saya sering memperhatikan perubahan kecil dalam emosi orang lain
I find it easy to keep things to myself,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,18,0,自分のことを秘密にしておくのが簡単だ,나는 내 생각을 속으로 감추는 것이 쉽다,我觉得对自己保密很容易,我覺得對自己保密很容易,Me resulta fácil guardarme las cosas para mí mismo,Je trouve facile de garder les choses pour moi,Acho fácil guardar as coisas para mim mesmo,أجد أنه من السهل الاحتفاظ بالأشياء لنفسي,मेरे लिए बातें अपने तक रखना आसान होता है,"Es fällt mir leicht, Dinge für mich zu behalten",Trovo facile tenere le cose per me,Saya merasa mudah menyimpan sesuatu untuk diri sendiri
I work to meet high standards in everything I do,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,19,0,常に高い基準を満たすよう努力している,나는 내가 하는 모든 일에서 높은 기준을 충족시키기 위해 노력한다,我努力在所有事情中达到高标准,我努力在所有事情中達到高標準,Trabajo para cumplir altos estándares en todo lo que hago,Je travaille pour atteindre des normes élevées dans tout ce que je fais,Trabalho para atender altos padrões em tudo o que faço,أعمل لتحقيق معايير عالية في كل ما أقوم به,मैं जो कुछ भी करता हूँ उसमें उच्च मानकों को पूरा करने की कोशिश करता हूँ,"Ich arbeite daran, in allem hohe Standards zu erfüllen",Lavoro per soddisfare standard elevati in tutto ciò che faccio,Saya bekerja untuk mencapai standar tinggi dalam segala hal yang saya lakukan
I am detail-oriented and thorough,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,20,0,私は細部に注意を払い丁寧に物事を行う,나는 세부 사항에 신경 쓰고 철저하다,我注重细节并做事认真,我注重細節並做事認真,Estoy orientado a los detalles y soy meticuloso,Je suis attentif aux détails et minutieux,Sou atento aos detalhes e minucioso,أنا دقيق ومراعي للتفاصيل,मैं विवरणों के प्रति सजग और संपूर्णता से काम करता हूँ,Ich bin detailorientiert und gründlich,Sono attento ai dettagli e scrupoloso,Saya memperhatikan detail dan teliti
I enjoy bringing energy to social gatherings,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,21,0,私は社交的な場に活気をもたらすことを楽しむ,나는 사교적인 모임에 활기를 불어넣는 것을 즐긴다,我喜欢为社交聚会带来活力,我喜歡為社交聚會帶來活力,Disfruto aportando energía a las reuniones sociales,J’aime apporter de l’énergie aux rassemblements sociaux,Gosto de trazer energia para encontros sociais,أستمتع بجلب الطاقة إلى التجمعات الاجتماعية,मुझे सामाजिक आयोजनों में ऊर्जा लाना पसंद है,Ich bringe gerne Energie in gesellschaftliche Zusammenkünfte,Mi piace portare energia agli incontri sociali,Saya senang membawa energi ke acara sosial
I am careful to assess people before trusting them,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,22,0,人を信頼する前に慎重に見極める,나는 사람을 신뢰하기 전에 신중하게 평가한다,在信任别人之前我会谨慎评估,在信任別人之前我會謹慎評估,Soy cuidadoso al evaluar a las personas antes de confiar en ellas,Je suis prudent pour évaluer les gens avant de leur faire confiance,Eu sou cuidadoso ao avaliar as pessoas antes de confiar nelas,أنا حذر في تقييم الناس قبل أن أثق بهم,मैं किसी पर भरोसा करने से पहले सावधानीपूर्वक मूल्यांकन करता हूँ,"Ich beurteile Menschen sorgfältig, bevor ich ihnen vertraue",Valuto attentamente le persone prima di fidarmi,Saya berhati-hati dalam menilai orang sebelum mempercayai mereka
I am often the first to introduce myself in a group,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,23,0,私はグループで最初に自己紹介することが多い,나는 그룹에서 먼저 자기소개하는 편이다,我常常是小组中第一个自我介绍的人,我常常是小組中第一個自我介紹的人,A menudo soy el primero en presentarme en un grupo,Je suis souvent le premier à me présenter dans un groupe,Frequentemente sou o primeiro a me apresentar em um grupo,غالبًا ما أكون أول من يقدم نفسه في المجموعة,मैं अक्सर समूह में खुद का परिचय देने वाला पहला व्यक्ति होता हूँ,Ich stelle mich in Gruppen oft als Erste*r vor,Sono spesso il primo a presentarmi in un gruppo,Saya sering menjadi orang pertama yang memperkenalkan diri dalam kelompok
